ID_compra,fecha_compra,ingrediente,cantidad,unidad,precio_unitario
C0469,2026-07-07,Maiz pelado amarillo,3.57,kg,2265.46
C0470,2026-07-07,Carne de vaca,2.04,kg,17935.26
C0471,2026-07-07,Carne de cerdo,2.04,kg,6630.33
C0472,2026-07-07,Cebolla,2.55,kg,731.2
C0473,2026-07-07,Papa,2.55,kg,971.34
C0474,2026-07-07,Grasa de cerdo,0.405,kg,6696.28
C0475,2026-07-07,Azucar,0.102,kg,1609.11
C0476,2026-07-07,Sal fina,0.097,kg,626.93
C0477,2026-07-07,Sal gruesa,0.092,kg,495.34
C0478,2026-07-07,Caldo de gallina,3.57,unidad,172.0
C0479,2026-07-07,Pimienta blanca,0.02,kg,6206.32
C0480,2026-07-07,Comino,0.012,kg,6292.65
C0481,2026-07-07,Aji locoto,0.026,kg,21330.62
C0482,2026-07-07,Pimenton rojo,0.051,kg,6210.18
C0483,2026-07-07,Hojas de chala,1.02,kg,21626.8
C0484,2026-07-07,Leña,0.383,m2,43450.37
C0485,2026-07-07,Choclo blanco,26.25,unidad,469.81
C0486,2026-07-07,Queso de mesa,0.525,kg,10837.67
C0487,2026-07-07,Leche,0.263,L,1840.87
C0488,2026-07-07,Grasa de cerdo,0.21,kg,6639.87
C0489,2026-07-07,Azucar,0.315,kg,1404.58
C0490,2026-07-07,Sal fina,0.052,kg,604.34
C0491,2026-07-07,Sal gruesa,0.032,kg,475.13
C0492,2026-07-07,Canela,0.003,kg,34406.66
C0493,2026-07-07,Albahaca,0.005,kg,4848.13
C0494,2026-07-07,Leña,0.21,m2,42846.29
C0495,2026-07-23,Maiz pelado amarillo,3.337,kg,2475.16
C0496,2026-07-23,Carne de vaca,1.907,kg,20216.33
C0497,2026-07-23,Carne de cerdo,1.907,kg,6382.02
C0498,2026-07-23,Cebolla,2.383,kg,730.76
C0499,2026-07-23,Papa,2.383,kg,1015.71
C0500,2026-07-23,Grasa de cerdo,0.379,kg,6005.63
C0501,2026-07-23,Azucar,0.095,kg,1439.79
C0502,2026-07-23,Sal fina,0.091,kg,601.49
C0503,2026-07-23,Sal gruesa,0.086,kg,528.21
C0504,2026-07-23,Caldo de gallina,3.337,unidad,166.43
C0505,2026-07-23,Pimienta blanca,0.019,kg,6591.26
C0506,2026-07-23,Comino,0.011,kg,5779.11
C0507,2026-07-23,Aji locoto,0.024,kg,20368.52
C0508,2026-07-23,Pimenton rojo,0.048,kg,5403.98
C0509,2026-07-23,Hojas de chala,0.953,kg,23481.4
C0510,2026-07-23,Leña,0.357,m2,36796.94
C0511,2026-07-23,Choclo blanco,30.417,unidad,409.25
C0512,2026-07-23,Queso de mesa,0.608,kg,10430.32
C0513,2026-07-23,Leche,0.304,L,1885.02
C0514,2026-07-23,Grasa de cerdo,0.243,kg,6456.15
C0515,2026-07-23,Azucar,0.365,kg,1497.78
C0516,2026-07-23,Sal fina,0.061,kg,576.9
C0517,2026-07-23,Sal gruesa,0.036,kg,516.28
C0518,2026-07-23,Canela,0.004,kg,32047.62
C0519,2026-07-23,Albahaca,0.006,kg,5209.91
C0520,2026-07-23,Leña,0.243,m2,41840.76
